,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0,0.701,0.445,1,-10.583,1,0.0834,0.149,0.59,0.0963,0.405,103.004,audio_features,62VWmsNoDmqT0Mj9oHHFVh,spotify:track:62VWmsNoDmqT0Mj9oHHFVh,https://api.spotify.com/v1/tracks/62VWmsNoDmqT0Mj9oHHFVh,https://api.spotify.com/v1/audio-analysis/62VWmsNoDmqT0Mj9oHHFVh,278627,4,Strasbourg / St. Denis
1,0.705,0.513,4,-7.054,1,0.2,0.362,0.0559,0.08,0.649,168.056,audio_features,4Rdan5edd4P9FvBzv2meZD,spotify:track:4Rdan5edd4P9FvBzv2meZD,https://api.spotify.com/v1/tracks/4Rdan5edd4P9FvBzv2meZD,https://api.spotify.com/v1/audio-analysis/4Rdan5edd4P9FvBzv2meZD,213293,4,I Want You Around
2,0.124,0.106,0,-22.245,0,0.0394,0.972,0.919,0.0802,0.0456,78.658,audio_features,7fcDQg8prLdJwim6Ey7neB,spotify:track:7fcDQg8prLdJwim6Ey7neB,https://api.spotify.com/v1/tracks/7fcDQg8prLdJwim6Ey7neB,https://api.spotify.com/v1/audio-analysis/7fcDQg8prLdJwim6Ey7neB,599653,4,"Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato"
3,0.426,0.436,10,-12.24,1,0.0328,0.393,0.861,0.102,0.276,161.645,audio_features,7IysvRLj3jmt6vUeUKZIJO,spotify:track:7IysvRLj3jmt6vUeUKZIJO,https://api.spotify.com/v1/tracks/7IysvRLj3jmt6vUeUKZIJO,https://api.spotify.com/v1/audio-analysis/7IysvRLj3jmt6vUeUKZIJO,367853,4,July
4,0.64,0.828,4,-7.941,1,0.0296,0.161,5.65e-05,0.0347,0.938,135.975,audio_features,0XcSmqWQ14leUZ7Jo0z8I2,spotify:track:0XcSmqWQ14leUZ7Jo0z8I2,https://api.spotify.com/v1/tracks/0XcSmqWQ14leUZ7Jo0z8I2,https://api.spotify.com/v1/audio-analysis/0XcSmqWQ14leUZ7Jo0z8I2,265467,4,There Is a Light That Never Goes Out - Take 1
5,0.283,0.053,3,-27.897,1,0.0402,0.994,0.902,0.156,0.284,74.827,audio_features,43cQe9ffpCPuQbrRGrvxPW,spotify:track:43cQe9ffpCPuQbrRGrvxPW,https://api.spotify.com/v1/tracks/43cQe9ffpCPuQbrRGrvxPW,https://api.spotify.com/v1/audio-analysis/43cQe9ffpCPuQbrRGrvxPW,264200,3,These Foolish Things (Remind Me Of You)
6,0.559,0.522,9,-10.584,1,0.0323,0.746,0.831,0.134,0.36,128.011,audio_features,7jPfshwQln5K26tGgteUra,spotify:track:7jPfshwQln5K26tGgteUra,https://api.spotify.com/v1/tracks/7jPfshwQln5K26tGgteUra,https://api.spotify.com/v1/audio-analysis/7jPfshwQln5K26tGgteUra,351640,4,>>>>>>>>>>>Mocean
7,0.766,0.402,1,-11.155,1,0.107,0.27,0.0007,0.106,0.466,125.107,audio_features,1M321puDN1WBd5NF0ogOKW,spotify:track:1M321puDN1WBd5NF0ogOKW,https://api.spotify.com/v1/tracks/1M321puDN1WBd5NF0ogOKW,https://api.spotify.com/v1/audio-analysis/1M321puDN1WBd5NF0ogOKW,153857,4,Habit
8,0.3,0.372,9,-10.196,1,0.0412,0.889,0.0416,0.0907,0.597,124.631,audio_features,4nRw2TTdWtcYetzLADlZ3q,spotify:track:4nRw2TTdWtcYetzLADlZ3q,https://api.spotify.com/v1/tracks/4nRw2TTdWtcYetzLADlZ3q,https://api.spotify.com/v1/audio-analysis/4nRw2TTdWtcYetzLADlZ3q,231973,4,Gyalwai Tenshook
9,0.53,0.453,4,-13.316,1,0.032,0.618,0.927,0.11,0.151,134.724,audio_features,3y3xBIOUtB6xhFgH69jOWB,spotify:track:3y3xBIOUtB6xhFgH69jOWB,https://api.spotify.com/v1/tracks/3y3xBIOUtB6xhFgH69jOWB,https://api.spotify.com/v1/audio-analysis/3y3xBIOUtB6xhFgH69jOWB,323973,4,Good Morning
