,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,audio_features,0d28khcov6AiegSCpG5TuT,spotify:track:0d28khcov6AiegSCpG5TuT,https://api.spotify.com/v1/tracks/0d28khcov6AiegSCpG5TuT,https://api.spotify.com/v1/audio-analysis/0d28khcov6AiegSCpG5TuT,222640,4,Feel Good Inc.
1,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,audio_features,39LLxExYz6ewLAcYrzQQyP,spotify:track:39LLxExYz6ewLAcYrzQQyP,https://api.spotify.com/v1/tracks/39LLxExYz6ewLAcYrzQQyP,https://api.spotify.com/v1/audio-analysis/39LLxExYz6ewLAcYrzQQyP,203808,4,Levitating
2,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,audio_features,0q6LuUqGLUiCPP1cbdwFs3,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/tracks/0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/audio-analysis/0q6LuUqGLUiCPP1cbdwFs3,233867,4,On Melancholy Hill
3,0.953,0.584,11,-7.57,1,0.0518,0.543,0.0,0.0786,0.861,104.007,audio_features,45P9g6kUb7itdonjjGjDdS,spotify:track:45P9g6kUb7itdonjjGjDdS,https://api.spotify.com/v1/tracks/45P9g6kUb7itdonjjGjDdS,https://api.spotify.com/v1/audio-analysis/45P9g6kUb7itdonjjGjDdS,216999,4,Lamberghini
4,0.551,0.941,4,-3.793,1,0.0683,0.00179,0.0,0.066,0.744,90.039,audio_features,0Lavu1rppGgXfiK27cAMyU,spotify:track:0Lavu1rppGgXfiK27cAMyU,https://api.spotify.com/v1/tracks/0Lavu1rppGgXfiK27cAMyU,https://api.spotify.com/v1/audio-analysis/0Lavu1rppGgXfiK27cAMyU,228267,4,Minimum Wage
5,0.757,0.534,6,-6.883,1,0.0976,0.321,1.27e-05,0.151,0.604,84.972,audio_features,3BSOVRJwhIsWqxR29FqCpm,spotify:track:3BSOVRJwhIsWqxR29FqCpm,https://api.spotify.com/v1/tracks/3BSOVRJwhIsWqxR29FqCpm,https://api.spotify.com/v1/audio-analysis/3BSOVRJwhIsWqxR29FqCpm,187500,4,Lhasa
6,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,audio_features,1jJci4qxiYcOHhQR247rEU,spotify:track:1jJci4qxiYcOHhQR247rEU,https://api.spotify.com/v1/tracks/1jJci4qxiYcOHhQR247rEU,https://api.spotify.com/v1/audio-analysis/1jJci4qxiYcOHhQR247rEU,302840,4,Kids
7,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,audio_features,5QLHGv0DfpeXLNFo7SFEy1,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/tracks/5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/audio-analysis/5QLHGv0DfpeXLNFo7SFEy1,266200,4,1979 - Remastered 2012
8,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,audio_features,748mdHapucXQri7IAO8yFK,spotify:track:748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/tracks/748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/audio-analysis/748mdHapucXQri7IAO8yFK,208867,4,Kiss Me More (feat. SZA)
9,0.875,0.475,9,-12.673,0,0.0986,0.44,0.72,0.046,0.384,99.958,audio_features,1NeLwFETswx8Fzxl2AFl91,spotify:track:1NeLwFETswx8Fzxl2AFl91,https://api.spotify.com/v1/tracks/1NeLwFETswx8Fzxl2AFl91,https://api.spotify.com/v1/audio-analysis/1NeLwFETswx8Fzxl2AFl91,232667,4,Something About Us
10,0.766,0.873,11,-6.381,0,0.143,0.00627,0.0,0.0764,0.743,126.988,audio_features,2Cd9iWfcOpGDHLz6tVA3G4,spotify:track:2Cd9iWfcOpGDHLz6tVA3G4,https://api.spotify.com/v1/tracks/2Cd9iWfcOpGDHLz6tVA3G4,https://api.spotify.com/v1/audio-analysis/2Cd9iWfcOpGDHLz6tVA3G4,202627,4,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
11,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,audio_features,5r5cp9IpziiIsR6b93vcnQ,spotify:track:5r5cp9IpziiIsR6b93vcnQ,https://api.spotify.com/v1/tracks/5r5cp9IpziiIsR6b93vcnQ,https://api.spotify.com/v1/audio-analysis/5r5cp9IpziiIsR6b93vcnQ,198440,4,Walking On A Dream
12,0.802,0.488,1,-9.304,1,0.0813,0.572,0.0598,0.0763,0.624,95.77,audio_features,1ko2lVN0vKGUl9zrU0qSlT,spotify:track:1ko2lVN0vKGUl9zrU0qSlT,https://api.spotify.com/v1/tracks/1ko2lVN0vKGUl9zrU0qSlT,https://api.spotify.com/v1/audio-analysis/1ko2lVN0vKGUl9zrU0qSlT,237106,4,Just the Two of Us (feat. Bill Withers)
13,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,audio_features,2Foc5Q5nqNiosCNqttzHof,spotify:track:2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/audio-analysis/2Foc5Q5nqNiosCNqttzHof,248413,4,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
14,0.804,0.406,7,-11.154,0,0.0472,0.023,0.837,0.106,0.124,120.012,audio_features,2bB6iDVgm25WkYv0yBz1BD,spotify:track:2bB6iDVgm25WkYv0yBz1BD,https://api.spotify.com/v1/tracks/2bB6iDVgm25WkYv0yBz1BD,https://api.spotify.com/v1/audio-analysis/2bB6iDVgm25WkYv0yBz1BD,360705,4,Looped
15,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,audio_features,54bFM56PmE4YLRnqpW6Tha,spotify:track:54bFM56PmE4YLRnqpW6Tha,https://api.spotify.com/v1/tracks/54bFM56PmE4YLRnqpW6Tha,https://api.spotify.com/v1/audio-analysis/54bFM56PmE4YLRnqpW6Tha,174321,4,Therefore I Am
16,0.753,0.326,7,-9.883,1,0.0342,0.731,0.00131,0.24,0.237,123.799,audio_features,3SktMqZmo3M9zbB7oKMIF7,spotify:track:3SktMqZmo3M9zbB7oKMIF7,https://api.spotify.com/v1/tracks/3SktMqZmo3M9zbB7oKMIF7,https://api.spotify.com/v1/audio-analysis/3SktMqZmo3M9zbB7oKMIF7,245827,3,Gravity
17,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,audio_features,4ZtFanR9U6ndgddUvNcjcG,spotify:track:4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4,good 4 u
18,0.592,0.784,8,-5.684,1,0.0721,0.0743,0.0,0.0835,0.622,165.967,audio_features,02Tvus8GNFWQDh6bKX9aH8,spotify:track:02Tvus8GNFWQDh6bKX9aH8,https://api.spotify.com/v1/tracks/02Tvus8GNFWQDh6bKX9aH8,https://api.spotify.com/v1/audio-analysis/02Tvus8GNFWQDh6bKX9aH8,253907,4,Sign Of A Victory (feat. Soweto Spiritual Singers) - The Official 2010 FIFA World Cup(TM) Anthem
19,0.605,0.687,9,-13.928,0,0.045,0.479,0.949,0.104,0.12,106.896,audio_features,2LD2gT7gwAurzdQDQtILds,spotify:track:2LD2gT7gwAurzdQDQtILds,https://api.spotify.com/v1/tracks/2LD2gT7gwAurzdQDQtILds,https://api.spotify.com/v1/audio-analysis/2LD2gT7gwAurzdQDQtILds,345187,4,Veridis Quo
20,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,audio_features,5Z3GHaZ6ec9bsiI5BenrbY,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,202547,4,Young Dumb & Broke
21,0.276,0.268,11,-13.639,1,0.0323,0.951,0.645,0.0938,0.129,140.686,audio_features,6tIchKplP5X5vXQ8q5IGFS,spotify:track:6tIchKplP5X5vXQ8q5IGFS,https://api.spotify.com/v1/tracks/6tIchKplP5X5vXQ8q5IGFS,https://api.spotify.com/v1/audio-analysis/6tIchKplP5X5vXQ8q5IGFS,694520,3,Dream of The Old
22,0.663,0.694,10,-8.627,0,0.171,0.0253,0.0,0.0698,0.525,167.953,audio_features,7yMiX7n9SBvadzox8T5jzT,spotify:track:7yMiX7n9SBvadzox8T5jzT,https://api.spotify.com/v1/tracks/7yMiX7n9SBvadzox8T5jzT,https://api.spotify.com/v1/audio-analysis/7yMiX7n9SBvadzox8T5jzT,340920,4,Clint Eastwood
23,0.546,0.934,4,-3.796,1,0.0643,0.00187,0.0,0.062,0.775,89.972,audio_features,4ijajhHtBsOn91S4dgkhu7,spotify:track:4ijajhHtBsOn91S4dgkhu7,https://api.spotify.com/v1/tracks/4ijajhHtBsOn91S4dgkhu7,https://api.spotify.com/v1/audio-analysis/4ijajhHtBsOn91S4dgkhu7,228187,4,Minimum Wage
24,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,audio_features,6nTiIhLmQ3FWhvrGafw2zj,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,https://api.spotify.com/v1/tracks/6nTiIhLmQ3FWhvrGafw2zj,https://api.spotify.com/v1/audio-analysis/6nTiIhLmQ3FWhvrGafw2zj,176346,4,American Idiot
25,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,audio_features,3FtYbEfBqAlGO46NUDQSAt,spotify:track:3FtYbEfBqAlGO46NUDQSAt,https://api.spotify.com/v1/tracks/3FtYbEfBqAlGO46NUDQSAt,https://api.spotify.com/v1/audio-analysis/3FtYbEfBqAlGO46NUDQSAt,229640,3,Electric Feel
26,0.324,0.494,7,-7.274,1,0.0319,0.221,0.0,0.347,0.39,125.766,audio_features,50FgfudO6MUkdP3XMIf1hh,spotify:track:50FgfudO6MUkdP3XMIf1hh,https://api.spotify.com/v1/tracks/50FgfudO6MUkdP3XMIf1hh,https://api.spotify.com/v1/audio-analysis/50FgfudO6MUkdP3XMIf1hh,219680,3,Winter Winds
27,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,audio_features,1DWZUa5Mzf2BwzpHtgbHPY,spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,https://api.spotify.com/v1/tracks/1DWZUa5Mzf2BwzpHtgbHPY,https://api.spotify.com/v1/audio-analysis/1DWZUa5Mzf2BwzpHtgbHPY,342040,4,Good News
28,0.63,0.706,0,-6.41,1,0.0807,0.124,0.0,0.254,0.677,75.992,audio_features,0mBREiw4ppCXccM7rsk2RC,spotify:track:0mBREiw4ppCXccM7rsk2RC,https://api.spotify.com/v1/tracks/0mBREiw4ppCXccM7rsk2RC,https://api.spotify.com/v1/audio-analysis/0mBREiw4ppCXccM7rsk2RC,220520,4,Wavin' Flag
