,external_urls,followers,genres,href,id,images,name,popularity,type,uri
0,{'spotify': 'https://open.spotify.com/artist/2vI9KFm0fwSfPrpEgOeIbq'},"{'href': None, 'total': 163506}","['contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'modern jazz piano']",https://api.spotify.com/v1/artists/2vI9KFm0fwSfPrpEgOeIbq,2vI9KFm0fwSfPrpEgOeIbq,"[{'height': 1000, 'url': 'https://i.scdn.co/image/317f1b374019ff179b7bc5e9b2748b4bfc79d372', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/304c747b93b032e4e516cb52016ce86bf8fe466c', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/eb59d58c54a9a1c9fb75dc969ec821cfd19af256', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/0984bc18f78db40d56df6632b2ae490ac0bdef6e', 'width': 64}]",Brad Mehldau,55,artist,spotify:artist:2vI9KFm0fwSfPrpEgOeIbq
1,{'spotify': 'https://open.spotify.com/artist/0ctjXj4AKsMtj6Tsm0JzSj'},"{'href': None, 'total': 19807}","['contemporary jazz', 'ecm-style jazz', 'israeli jazz']",https://api.spotify.com/v1/artists/0ctjXj4AKsMtj6Tsm0JzSj,0ctjXj4AKsMtj6Tsm0JzSj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf9ed1cbe65f79bab6aa20243', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f9ed1cbe65f79bab6aa20243', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f9ed1cbe65f79bab6aa20243', 'width': 160}]",Shai Maestro,34,artist,spotify:artist:0ctjXj4AKsMtj6Tsm0JzSj
2,{'spotify': 'https://open.spotify.com/artist/26XwWqwNq8FMgZEKqqdU9b'},"{'href': None, 'total': 9998}","['contemporary jazz', 'jazz']",https://api.spotify.com/v1/artists/26XwWqwNq8FMgZEKqqdU9b,26XwWqwNq8FMgZEKqqdU9b,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb19030422c459adb1b9570ad6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517419030422c459adb1b9570ad6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17819030422c459adb1b9570ad6', 'width': 160}]",Walter Smith III,31,artist,spotify:artist:26XwWqwNq8FMgZEKqqdU9b
3,{'spotify': 'https://open.spotify.com/artist/22KzEvCtrTGf9l6k7zFcdv'},"{'href': None, 'total': 33297}","['contemporary jazz', 'ecm-style jazz', 'indie jazz', 'jazz', 'jazz fusion', 'jazz piano', 'modern jazz piano', 'swedish jazz']",https://api.spotify.com/v1/artists/22KzEvCtrTGf9l6k7zFcdv,22KzEvCtrTGf9l6k7zFcdv,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb55d801647c6e2528e701d1cb', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517455d801647c6e2528e701d1cb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17855d801647c6e2528e701d1cb', 'width': 160}]",Aaron Parks,42,artist,spotify:artist:22KzEvCtrTGf9l6k7zFcdv
4,{'spotify': 'https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d'},"{'href': None, 'total': 37224845}","['classic rock', 'glam rock', 'rock']",https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d,1dfeR4HaWDbWqFHLkxsg1d,"[{'height': 806, 'url': 'https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982', 'width': 999}, {'height': 516, 'url': 'https://i.scdn.co/image/af2b8e57f6d7b5d43a616bd1e27ba552cd8bfd42', 'width': 640}, {'height': 161, 'url': 'https://i.scdn.co/image/c06971e9ff81696699b829484e3be165f4e64368', 'width': 200}, {'height': 52, 'url': 'https://i.scdn.co/image/6dd0ffd270903d1884edf9058c49f58b03db893d', 'width': 64}]",Queen,87,artist,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d
5,{'spotify': 'https://open.spotify.com/artist/0bouHpX4JiuPnIfP2jFxRi'},"{'href': None, 'total': 60913}","['caucasian classical piano', 'classical performance', 'classical piano']",https://api.spotify.com/v1/artists/0bouHpX4JiuPnIfP2jFxRi,0bouHpX4JiuPnIfP2jFxRi,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf9168310f6640f35be0905d6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f9168310f6640f35be0905d6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f9168310f6640f35be0905d6', 'width': 160}]",Khatia Buniatishvili,57,artist,spotify:artist:0bouHpX4JiuPnIfP2jFxRi
6,{'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'},"{'href': None, 'total': 57875139}","['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9e46a78c5cd2f7a8e7669980', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749e46a78c5cd2f7a8e7669980', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789e46a78c5cd2f7a8e7669980', 'width': 160}]",Drake,100,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4
7,{'spotify': 'https://open.spotify.com/artist/0IyuDlCVbMa3TAoVaDKEeL'},"{'href': None, 'total': 10069}",['contemporary jazz'],https://api.spotify.com/v1/artists/0IyuDlCVbMa3TAoVaDKEeL,0IyuDlCVbMa3TAoVaDKEeL,"[{'height': 1000, 'url': 'https://i.scdn.co/image/06c0e5fc00346bc76367bf86d90758567a64b4f9', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/a853c234ed71831cfc9f2b143ae354aa5843993b', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/d507b8e6a11ae4104bcdaa4a374b61c94de7f972', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/67af9e61260b1c7b12ad702fd757a90f4d537f29', 'width': 64}]",Kendrick Scott Oracle,31,artist,spotify:artist:0IyuDlCVbMa3TAoVaDKEeL
8,{'spotify': 'https://open.spotify.com/artist/253GMpCNwx1TJtASNAeDoP'},"{'href': None, 'total': 51014}","['contemporary jazz', 'contemporary post-bop', 'jazz', 'jazz fusion', 'jazz guitar']",https://api.spotify.com/v1/artists/253GMpCNwx1TJtASNAeDoP,253GMpCNwx1TJtASNAeDoP,"[{'height': 265, 'url': 'https://i.scdn.co/image/44a19cd461789fa79d9594214d22ceea58462a22', 'width': 400}, {'height': 133, 'url': 'https://i.scdn.co/image/2b4a335c381292104e75b4ab12b9629574053b14', 'width': 200}, {'height': 42, 'url': 'https://i.scdn.co/image/5bfd5052a23fbb432523548fa619620dc92265f1', 'width': 63}]",Kurt Rosenwinkel,41,artist,spotify:artist:253GMpCNwx1TJtASNAeDoP
9,{'spotify': 'https://open.spotify.com/artist/20wkVLutqVOYrc0kxFs7rA'},"{'href': None, 'total': 2898289}","['canadian contemporary r&b', 'pop', 'r&b']",https://api.spotify.com/v1/artists/20wkVLutqVOYrc0kxFs7rA,20wkVLutqVOYrc0kxFs7rA,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb718d4447dae6ba98072371f2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174718d4447dae6ba98072371f2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178718d4447dae6ba98072371f2', 'width': 160}]",Daniel Caesar,83,artist,spotify:artist:20wkVLutqVOYrc0kxFs7rA
