,external_urls,followers,genres,href,id,images,name,popularity,type,uri
0,{'spotify': 'https://open.spotify.com/artist/2vI9KFm0fwSfPrpEgOeIbq'},"{'href': None, 'total': 163506}","['contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'modern jazz piano']",https://api.spotify.com/v1/artists/2vI9KFm0fwSfPrpEgOeIbq,2vI9KFm0fwSfPrpEgOeIbq,"[{'height': 1000, 'url': 'https://i.scdn.co/image/317f1b374019ff179b7bc5e9b2748b4bfc79d372', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/304c747b93b032e4e516cb52016ce86bf8fe466c', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/eb59d58c54a9a1c9fb75dc969ec821cfd19af256', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/0984bc18f78db40d56df6632b2ae490ac0bdef6e', 'width': 64}]",Brad Mehldau,55,artist,spotify:artist:2vI9KFm0fwSfPrpEgOeIbq
1,{'spotify': 'https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ'},"{'href': None, 'total': 7647678}",['alternative hip hop'],https://api.spotify.com/v1/artists/3AA28KZvwAUcZuOKwyblJQ,3AA28KZvwAUcZuOKwyblJQ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe9de8fae8eacbcff097dc818', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e9de8fae8eacbcff097dc818', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e9de8fae8eacbcff097dc818', 'width': 160}]",Gorillaz,82,artist,spotify:artist:3AA28KZvwAUcZuOKwyblJQ
2,{'spotify': 'https://open.spotify.com/artist/253GMpCNwx1TJtASNAeDoP'},"{'href': None, 'total': 51014}","['contemporary jazz', 'contemporary post-bop', 'jazz', 'jazz fusion', 'jazz guitar']",https://api.spotify.com/v1/artists/253GMpCNwx1TJtASNAeDoP,253GMpCNwx1TJtASNAeDoP,"[{'height': 265, 'url': 'https://i.scdn.co/image/44a19cd461789fa79d9594214d22ceea58462a22', 'width': 400}, {'height': 133, 'url': 'https://i.scdn.co/image/2b4a335c381292104e75b4ab12b9629574053b14', 'width': 200}, {'height': 42, 'url': 'https://i.scdn.co/image/5bfd5052a23fbb432523548fa619620dc92265f1', 'width': 63}]",Kurt Rosenwinkel,41,artist,spotify:artist:253GMpCNwx1TJtASNAeDoP
3,{'spotify': 'https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi'},"{'href': None, 'total': 8288372}","['electro', 'filter house']",https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi,4tZwfgrHOc3mvqYlEYSvVi,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebca77d763703a93930c363a39', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ca77d763703a93930c363a39', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ca77d763703a93930c363a39', 'width': 160}]",Daft Punk,82,artist,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
4,{'spotify': 'https://open.spotify.com/artist/26XwWqwNq8FMgZEKqqdU9b'},"{'href': None, 'total': 9998}","['contemporary jazz', 'jazz']",https://api.spotify.com/v1/artists/26XwWqwNq8FMgZEKqqdU9b,26XwWqwNq8FMgZEKqqdU9b,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb19030422c459adb1b9570ad6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517419030422c459adb1b9570ad6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17819030422c459adb1b9570ad6', 'width': 160}]",Walter Smith III,31,artist,spotify:artist:26XwWqwNq8FMgZEKqqdU9b
5,{'spotify': 'https://open.spotify.com/artist/0bBrsS9ufPAmeFQgDNG54O'},"{'href': None, 'total': 24311}",['bedroom soul'],https://api.spotify.com/v1/artists/0bBrsS9ufPAmeFQgDNG54O,0bBrsS9ufPAmeFQgDNG54O,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0b8edfcceddaf5889299daf8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740b8edfcceddaf5889299daf8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780b8edfcceddaf5889299daf8', 'width': 160}]",cehryl,42,artist,spotify:artist:0bBrsS9ufPAmeFQgDNG54O
6,{'spotify': 'https://open.spotify.com/artist/5szMuuBbDzULkagWIfI5LG'},"{'href': None, 'total': 5436}",[],https://api.spotify.com/v1/artists/5szMuuBbDzULkagWIfI5LG,5szMuuBbDzULkagWIfI5LG,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebda1f0478ee58884ad51dc29a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174da1f0478ee58884ad51dc29a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178da1f0478ee58884ad51dc29a', 'width': 160}]",Immanuel Wilkins,37,artist,spotify:artist:5szMuuBbDzULkagWIfI5LG
7,{'spotify': 'https://open.spotify.com/artist/2TSuAchdgVzsAa9wDK1IeT'},"{'href': None, 'total': 69820}","['contemporary jazz', 'jazz', 'jazz fusion', 'jazz guitar']",https://api.spotify.com/v1/artists/2TSuAchdgVzsAa9wDK1IeT,2TSuAchdgVzsAa9wDK1IeT,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebecaa49a4b4168ea8829663e1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ecaa49a4b4168ea8829663e1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ecaa49a4b4168ea8829663e1', 'width': 160}]",Julian Lage,48,artist,spotify:artist:2TSuAchdgVzsAa9wDK1IeT
8,{'spotify': 'https://open.spotify.com/artist/1P6Llrp12ldpVbyC8gCHBz'},"{'href': None, 'total': 15012}","['contemporary jazz', 'jazz', 'jazz drums', 'straight-ahead jazz']",https://api.spotify.com/v1/artists/1P6Llrp12ldpVbyC8gCHBz,1P6Llrp12ldpVbyC8gCHBz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb64c95c4c8cb93f95c41894b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b64c95c4c8cb93f95c41894b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b64c95c4c8cb93f95c41894b', 'width': 160}]",Ari Hoenig,39,artist,spotify:artist:1P6Llrp12ldpVbyC8gCHBz
9,{'spotify': 'https://open.spotify.com/artist/0hEurMDQu99nJRq8pTxO14'},"{'href': None, 'total': 5267099}","['neo mellow', 'pop rock', 'singer-songwriter']",https://api.spotify.com/v1/artists/0hEurMDQu99nJRq8pTxO14,0hEurMDQu99nJRq8pTxO14,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb265ef5547ecff4dabd6352bf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174265ef5547ecff4dabd6352bf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178265ef5547ecff4dabd6352bf', 'width': 160}]",John Mayer,82,artist,spotify:artist:0hEurMDQu99nJRq8pTxO14
